transaction_date,balance
2019-10-06,1680657.8100000003
2019-10-07,1677101.4900000002
2019-10-08,1679996.2700000003
2019-10-09,1679996.2700000003
2019-10-10,1679983.0800000003
2019-10-11,1679992.1700000004
2019-10-12,1679992.1700000004
2019-10-13,1679924.6500000004
2019-10-14,1681355.0500000003
2019-10-15,1676670.7000000002
2019-10-16,1669718.4400000002
2019-10-17,1746146.8000000003
2019-10-18,1746674.3100000003
2019-10-19,1746674.3100000003
2019-10-20,1746674.3100000003
2019-10-21,1746829.7700000003
2019-10-22,1748876.5300000003
2019-10-23,1748904.4500000002
2019-10-24,1749565.7700000003
2019-10-25,1746951.9300000002
2019-10-26,1746951.9300000002
2019-10-27,1796207.9300000002
2019-10-28,1806417.0500000003
2019-10-29,1806889.0100000002
2019-10-30,1806919.7600000002
2019-10-31,1801842.2900000003
2019-11-01,1804369.0800000003
2019-11-02,1812369.0800000003
2019-11-03,1812369.0800000003
2019-11-04,1811902.8200000003
2019-11-05,1814181.7600000002
2019-11-06,1814369.7600000002
2019-11-07,1814374.9100000001
2019-11-08,1814374.9100000001
2019-11-09,1814374.9100000001
2019-11-10,1814374.9100000001
2019-11-11,1814374.9100000001
2019-11-12,1811080.36
2019-11-13,1812527.35
2019-11-14,1812808.86
2019-11-15,1801567.79
2019-11-16,1911167.79
2019-11-17,1911654.19
2019-11-18,1911027.71
2019-11-19,1912616.58
2019-11-20,1912798.6400000001
2019-11-21,1912798.6400000001
2019-11-22,1912830.3900000001
2019-11-23,1912830.3900000001
2019-11-24,1912830.3900000001
2019-11-25,1909852.6900000002
2019-11-26,1956419.6500000001
2019-11-27,1967428.58
2019-11-28,1967545.01
2019-11-29,1962260.95
2019-11-30,1962355.9
2019-12-01,1962355.9
2019-12-02,1972482.0499999998
2019-12-03,1971239.9799999997
2019-12-04,1974584.6399999997
2019-12-05,1974571.8699999996
2019-12-06,1974106.3899999997
2019-12-07,1974106.3899999997
2019-12-08,1974106.3899999997
2019-12-09,1975308.7499999998
2019-12-10,1975468.7999999998
2019-12-11,1974797.1099999999
2019-12-12,1974936.89
2019-12-13,1970873.6099999999
2019-12-14,1971122.89
2019-12-15,1964878.89
2019-12-16,2074079.2999999998
2019-12-17,2076066.7599999998
2019-12-18,2076066.7599999998
2019-12-19,2076116.4199999997
2019-12-20,2076198.7099999997
2019-12-21,2076198.7099999997
2019-12-22,2076198.7099999997
2019-12-23,2076544.5499999998
2019-12-24,2077272.0199999998
2019-12-25,2077272.0199999998
2019-12-26,2126028.0199999996
2019-12-27,2132003.3599999994
2019-12-28,2132003.3599999994
2019-12-29,2132003.3599999994
2019-12-30,2127100.5599999996
2019-12-31,2128333.28
2020-01-01,2136333.28
2020-01-02,2133737.3099999996
2020-01-03,2134035.5799999996
2020-01-04,2134035.5799999996
2020-01-05,2134035.5799999996
2020-01-06,2138218.2299999995
2020-01-07,2139039.9099999997
2020-01-08,2139039.9099999997
2020-01-09,2139049.9099999997
2020-01-10,2139052.1699999995
2020-01-11,2138984.6499999994
2020-01-12,2140415.0499999993
2020-01-13,2137023.8799999994
2020-01-14,2130230.2199999993
2020-01-15,2236308.479999999
2020-01-16,2235198.329999999
2020-01-17,2234822.649999999
2020-01-18,2234822.649999999
2020-01-19,2234822.649999999
2020-01-20,2314111.629999999
2020-01-21,2314321.549999999
2020-01-22,2314333.479999999
2020-01-23,2314358.239999999
2020-01-24,2314358.239999999
2020-01-25,2363614.239999999
2020-01-26,2371614.239999999
2020-01-27,2364969.0999999987
2020-01-28,2367303.0999999987
2020-01-29,2362775.7299999986
2020-01-30,2365334.8799999985
2020-01-31,2369019.1099999985
2020-02-01,2369019.1099999985
2020-02-02,2369019.1099999985
2020-02-03,2368635.8299999987
2020-02-04,2371853.8699999987
2020-02-05,2371933.8699999987
2020-02-06,2371942.8999999985
2020-02-07,2373146.9699999983
2020-02-08,2373146.9699999983
2020-02-09,2373146.9699999983
2020-02-10,2369960.1899999985
2020-02-11,2372755.1899999985
2020-02-12,2373016.4699999983
2020-02-13,2366272.4699999983
2020-02-14,2470804.829999998
2020-02-15,2471285.829999998
2020-02-16,2471285.829999998
2020-02-17,2470518.809999998
2020-02-18,2465266.789999998
2020-02-19,2465276.319999998
2020-02-20,2465286.429999998
2020-02-21,2465160.9799999977
2020-02-22,2465160.9799999977
2020-02-23,2465160.9799999977
2020-02-24,2512107.719999998
2020-02-25,2519121.919999998
2020-02-26,2521691.939999998
2020-02-27,2521732.699999998
2020-02-28,2516882.0799999977
2020-02-29,2516882.0799999977
2020-03-01,2524382.0799999977
2020-03-02,2525875.739999998
2020-03-03,2521458.389999998
2020-03-04,2523153.889999998
2020-03-05,2522283.889999998
2020-03-06,2522283.889999998
2020-03-07,2522283.889999998
2020-03-08,2522283.889999998
2020-03-09,2519313.259999998
2020-03-10,2519313.259999998
2020-03-11,2518467.669999998
2020-03-12,2516944.279999998
2020-03-13,2506094.379999998
2020-03-14,2499350.379999998
2020-03-15,2608950.379999998
2020-03-16,2613947.229999998
2020-03-17,2584792.319999998
2020-03-18,2584592.319999998
2020-03-19,2584595.679999998
2020-03-20,2580612.679999998
2020-03-21,2580612.679999998
2020-03-22,2580612.679999998
2020-03-23,2579794.9799999977
2020-03-24,2580050.639999998
2020-03-25,2622004.3499999978
2020-03-26,2622387.1899999976
2020-03-27,2619930.7999999975
2020-03-28,2619307.0099999974
2020-03-29,2619389.4299999974
2020-03-30,2616786.5099999974
2020-03-31,2621054.3999999976
2020-04-01,2623002.1699999976
2020-04-02,2623051.2899999977
2020-04-03,2623581.909999998
2020-04-04,2623657.509999998
2020-04-05,2623686.8099999977
2020-04-06,2621770.1899999976
2020-04-07,2622007.3599999975
2020-04-08,2622106.0699999975
2020-04-09,2621844.6499999976
2020-04-10,2621801.3099999977
2020-04-11,2623238.4799999977
2020-04-12,2623499.0499999975
2020-04-13,2612898.5699999975
2020-04-14,2722498.5699999975
2020-04-15,2699761.3199999975
2020-04-16,2702170.5399999977
2020-04-17,2701148.6299999976
2020-04-18,2701163.3499999978
2020-04-19,2701407.929999998
2020-04-20,2704133.839999998
2020-04-21,2704207.639999998
2020-04-22,2703308.109999998
2020-04-23,2702956.099999998
2020-04-24,2751805.809999998
2020-04-25,2756889.579999998
2020-04-26,2759271.229999998
2020-04-27,2744454.459999998
2020-04-28,2744598.899999998
2020-04-29,2744598.899999998
2020-04-30,2747466.709999998
2020-05-01,2749113.719999998
2020-05-02,2749047.0399999977
2020-05-03,2749086.029999998
2020-05-04,2749505.389999998
2020-05-05,2749681.529999998
2020-05-06,2749684.909999998
2020-05-07,2749699.859999998
2020-05-08,2749814.889999998
2020-05-09,2749849.9199999976
2020-05-10,2749776.9199999976
2020-05-11,2751346.7199999974
2020-05-12,2751620.5399999972
2020-05-13,2743333.0799999973
2020-05-14,2862575.4099999974
2020-05-15,2852741.6799999974
2020-05-16,2852081.5599999973
2020-05-17,2852229.959999997
2020-05-18,2852235.749999997
2020-05-19,3006068.0999999973
2020-05-20,3006862.1199999973
2020-05-21,3006632.2799999975
2020-05-22,3006656.1299999976
2020-05-23,3006724.2299999977
2020-05-24,3058985.2899999977
2020-05-25,3068097.1899999976
2020-05-26,3068183.3299999977
2020-05-27,3070692.929999998
2020-05-28,3070927.179999998
2020-05-29,3065514.759999998
2020-05-30,3074255.399999998
2020-05-31,3073954.399999998
2020-06-01,3069870.089999998
2020-06-02,3070039.939999998
2020-06-03,3073561.309999998
2020-06-04,3073994.169999998
2020-06-05,3074036.979999998
2020-06-06,3073803.749999998
2020-06-07,3073761.229999998
2020-06-08,3074395.289999998
2020-06-09,3074362.599999998
2020-06-10,3075934.3399999985
2020-06-11,3077710.0799999987
2020-06-12,3071120.3099999987
2020-06-13,3181001.3899999987
2020-06-14,3181010.7099999986
2020-06-15,3178515.6299999985
2020-06-16,3177168.3099999987
2020-06-17,3177187.1699999985
2020-06-18,3176642.7599999984
2020-06-19,3178234.3699999982
2020-06-20,3178298.099999998
2020-06-21,3178264.099999998
2020-06-22,3178306.039999998
2020-06-23,3227595.849999998
2020-06-24,3235628.039999998
2020-06-25,3234980.1599999983
2020-06-26,3237402.1999999983
2020-06-27,3237814.6799999983
2020-06-28,3235314.6799999983
2020-06-29,3244136.689999998
2020-06-30,3237361.549999998
2020-07-01,3237459.489999998
2020-07-02,3239759.2499999977
2020-07-03,3237582.5599999977
2020-07-04,3237583.5599999977
2020-07-05,3238517.139999998
2020-07-06,3239960.369999998
2020-07-07,3239975.319999998
2020-07-08,3240079.529999998
2020-07-09,3240646.699999998
2020-07-10,3242037.0999999978
2020-07-11,3242298.3799999976
2020-07-12,3235496.9799999977
2020-07-13,3345122.2299999977
2020-07-14,3346317.5599999977
2020-07-15,3343284.949999998
2020-07-16,3343966.0399999977
2020-07-17,3344893.989999998
2020-07-18,3344913.7699999977
2020-07-19,3344885.989999998
2020-07-20,3346659.609999998
2020-07-21,3346716.599999998
2020-07-22,3346396.849999998
2020-07-23,3395709.109999998
2020-07-24,3403781.369999998
2020-07-25,3403835.7099999976
2020-07-26,3403906.0599999977
2020-07-27,3409013.759999998
2020-07-28,3408776.729999998
2020-07-29,3416815.8699999982
2020-07-30,3416815.8699999982
2020-07-31,3414905.459999998
2020-08-01,3409637.999999998
2020-08-02,3410495.129999998
2020-08-03,3416198.039999998
2020-08-04,3413843.629999998
2020-08-05,3412260.729999998
2020-08-06,3413544.879999998
2020-08-07,3415193.539999998
2020-08-08,3415207.289999998
2020-08-09,3416437.689999998
2020-08-10,3417003.849999998
2020-08-11,3410296.0899999985
2020-08-12,3519961.1899999985
2020-08-13,3520298.5899999985
2020-08-14,3517081.3599999985
2020-08-15,3517038.7899999986
2020-08-16,3517050.0699999984
2020-08-17,3515479.7899999986
2020-08-18,3514340.6599999988
2020-08-19,3514309.069999999
2020-08-20,3514385.009999999
2020-08-21,3514720.669999999
2020-08-22,3564026.129999999
2020-08-23,3571896.079999999
2020-08-24,3572099.6999999993
2020-08-25,3568910.7399999993
2020-08-26,3569414.349999999
2020-08-27,3572197.379999999
2020-08-28,3580262.379999999
2020-08-29,3579443.359999999
2020-08-30,3579782.779999999
2020-08-31,3577962.129999999
2020-09-01,3525535.859999999
2020-09-02,3525660.279999999
2020-09-03,3525937.5999999987
2020-09-04,3523946.819999999
2020-09-05,3521303.939999999
2020-09-06,3521318.889999999
2020-09-07,3521487.6799999992
2020-09-08,3523007.479999999
2020-09-09,3523285.089999999
2020-09-10,3516204.029999999
2020-09-11,3639619.459999999
2020-09-12,3640181.829999999
2020-09-13,3640275.879999999
2020-09-14,3643543.069999999
2020-09-15,3640352.109999999
2020-09-16,3640361.099999999
2020-09-17,3639101.099999999
2020-09-18,3638678.849999999
2020-09-19,3638402.399999999
2020-09-20,3638775.619999999
2020-09-21,3658554.6099999994
2020-09-22,3668484.2599999993
2020-09-23,3668024.8799999994
2020-09-24,3668224.8799999994
2020-09-25,3668399.1899999995
2020-09-26,3668399.1899999995
2020-09-27,3677399.1899999995
2020-09-28,3677461.0599999996
2020-09-29,3677461.0599999996
2020-09-30,3677465.0399999996
2020-10-01,3677483.8199999994
2020-10-02,3677502.599999999
2020-10-03,3677421.599999999
2020-10-04,3677421.599999999
2020-10-05,3675381.599999999
2020-10-06,3726176.7399999993
2020-10-07,3726100.7799999993
2020-10-08,3727709.9799999995
2020-10-09,3728003.9199999995
2020-10-10,3720416.9199999995
2020-10-11,3843716.9199999995
2020-10-12,3844289.1199999996
2020-10-13,3844413.9399999995
2020-10-14,3845713.8499999996
2020-10-15,3845713.8499999996
2020-10-16,3844158.8499999996
2020-10-17,3844158.8499999996
2020-10-18,3844158.8499999996
2020-10-19,3844216.09
2020-10-20,3845660.09
2020-10-21,3901073.09
2020-10-22,3910078.69
2020-10-23,3910084.29
2020-10-24,3910084.29
2020-10-25,3910270.86
2020-10-26,3910351.79
2020-10-27,3918851.79
2020-10-28,3918851.79
2020-10-29,3918851.79
2020-10-30,3918868.27
2020-10-31,3918781.27
2020-11-01,3918781.27
2020-11-02,3916179.27
2020-11-03,3917623.27
2020-11-04,3917623.27
2020-11-05,3917623.27
2020-11-06,3917551.53
2020-11-07,3918892.53
2020-11-08,3919137.48
2020-11-09,3913318.78
2020-11-10,4016068.78
2020-11-11,4016524.78
2020-11-12,4016524.78
2020-11-13,4015508.8099999996
2020-11-14,4015508.8099999996
2020-11-15,4015508.8099999996
2020-11-16,4016034.3399999994
2020-11-17,4017478.3399999994
2020-11-18,4016964.6899999995
2020-11-19,4016964.6899999995
2020-11-20,4050828.1899999995
2020-11-21,4052828.1899999995
2020-11-22,4052828.1899999995
2020-11-23,4052868.8999999994
2020-11-24,4052894.2199999993
2020-11-25,4052894.2199999993
2020-11-26,4054954.309999999
2020-11-27,4054954.309999999
2020-11-28,4054954.309999999
2020-11-29,4054954.309999999
2020-11-30,4052545.289999999
2020-12-01,4054547.729999999
2020-12-02,4053982.729999999
2020-12-03,4053982.729999999
2020-12-04,4054080.579999999
2020-12-05,4054080.579999999
2020-12-06,4054063.6999999993
2020-12-07,4054436.249999999
2020-12-08,4055007.789999999
2020-12-09,4053321.789999999
2020-12-10,4080721.789999999
2020-12-11,4080843.389999999
2020-12-12,4080913.209999999
2020-12-13,4080833.209999999
2020-12-14,4081363.9499999993
2020-12-15,4077969.3999999994
2020-12-16,4078509.3999999994
2020-12-17,4077353.6399999997
2020-12-18,4077495.8699999996
2020-12-19,4077495.8699999996
2020-12-20,4089809.8699999996
2020-12-21,4092530.3
2020-12-22,4092530.3
2020-12-23,4090986.7199999997
2020-12-24,4092593.71
2020-12-25,4092567.26
2020-12-26,4094067.26
2020-12-27,4094133.7699999996
2020-12-28,4094179.1199999996
2020-12-29,4094830.78
2020-12-30,4094947.5399999996
2020-12-31,4094951.5199999996
2021-01-01,4094778.7399999998
2021-01-02,4094572.82
2021-01-03,4094572.82
2021-01-04,4100161.67
2021-01-05,4100149.01
2021-01-06,4101690.0599999996
2021-01-07,4102564.9299999997
2021-01-08,4101320.4299999997
2021-01-09,4121872.28
2021-01-10,4121963.48
2021-01-11,4124693.69
2021-01-12,4124737.2199999997
2021-01-13,4125227.4699999997
2021-01-14,4125051.7199999997
2021-01-15,4121783.3499999996
2021-01-16,4121985.0599999996
2021-01-17,4121985.0599999996
2021-01-18,4121372.9299999997
2021-01-19,4130678.13
2021-01-20,4131812.19
2021-01-21,4131834.78
2021-01-22,4131864.78
2021-01-23,4131940.52
2021-01-24,4131940.52
2021-01-25,4134434.56
2021-01-26,4134511.06
2021-01-27,4135878.56
2021-01-28,4135928.8000000003
2021-01-29,4132986.2600000002
2021-01-30,4132063.7600000002
2021-01-31,4132333.6900000004
2021-02-01,4126906.1600000006
2021-02-02,4127026.4200000004
2021-02-03,4127035.6300000004
2021-02-04,4127022.97
2021-02-05,4127291.1700000004
2021-02-06,4127340.1600000006
2021-02-07,4126075.6600000006
2021-02-08,4146625.6600000006
